SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 1
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)
A1         F1         CMI              3.0             129.0           53.50
A1         F2         SPI              221.0           348.0           68.71
A1         F3         MKE              426.0           527.0           26.50
A1         F4         MSN              614.0           719.0           42.94
A2         F1         SBN              21.0            138.0           33.13
A2         F2         SBN              223.0           329.0           33.13
A2         F3         SBN              413.0           529.0           33.13
A3         F1         CID              12.0            139.0           77.55
A3         F2         GRR              258.0           373.0           53.99
A3         F3         CMI              450.0           560.0           53.50
